,host,tool,indent,user,time,method,request_path,status,size,referer,agent
0,192.168.4.25,acunetix,-,-,22/Dec/2016:16:30:52 +0300,POST,/administrator/index.php HTTP/1.1,303,382,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
1,192.168.4.25,acunetix,-,-,22/Dec/2016:16:29:05 +0300,POST,/index.php/component/search/ HTTP/1.1,500,2011,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
2,192.168.4.25,acunetix,-,-,22/Dec/2016:16:28:53 +0300,POST,/index.php/component/search/ HTTP/1.1,303,374,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
3,192.168.4.25,acunetix,-,-,22/Dec/2016:16:32:50 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3054,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
4,192.168.4.25,acunetix,-,-,22/Dec/2016:16:29:13 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3056,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
5,192.168.4.25,acunetix,-,-,22/Dec/2016:16:29:33 +0300,GET,/index.php/component/search/?searchword=&ordering=alpha&searchphrase=all&areas[0]=newsfeeds HTTP/1.1,200,3122,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
6,192.168.4.25,acunetix,-,-,22/Dec/2016:16:24:39 +0300,POST,/index.php/component/search/ HTTP/1.1,303,412,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
7,192.168.4.25,acunetix,-,-,22/Dec/2016:16:28:52 +0300,POST,/index.php/component/search/ HTTP/1.1,303,377,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
8,192.168.4.25,acunetix,-,-,22/Dec/2016:16:28:58 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3052,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
9,192.168.4.25,acunetix,-,-,22/Dec/2016:16:21:56 +0300,POST,/index.php/component/search/ HTTP/1.1,303,376,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
